(0,116,0.93)
(1,22,0.99)
(2,20,0.79)
(4,40,1.0)
(8,9,0.98)
(8,10,0.92)
(8,13,0.97)
(8,28,0.97)
(8,41,0.98)
(8,76,0.97)
(9,10,0.91)
(9,13,0.96)
(9,28,0.96)
(9,41,0.99)
(9,76,0.96)
(10,13,0.94)
(10,28,0.94)
(10,41,0.92)
(10,76,0.94)
(11,43,0.99)
(12,50,0.98)
(12,106,0.98)
(13,28,1.0)
(13,41,0.97)
(13,76,1.0)
(15,24,1.0)
(19,30,0.98)
(21,146,0.98)
(25,119,0.96)
(28,41,0.97)
(28,76,1.0)
(34,35,1.0)
(34,85,1.0)
(34,103,1.0)
(35,85,1.0)
(35,103,1.0)
(36,69,1.0)
(39,205,0.68)
(41,76,0.97)
(45,132,0.86)
(49,56,1.0)
(50,106,1.0)
(52,142,0.97)
(52,149,0.91)
(53,224,0.97)
(53,225,0.89)
(58,159,0.93)
(60,121,1.0)
(62,207,1.0)
(63,64,0.87)
(63,128,1.0)
(64,128,0.87)
(68,99,0.97)
(68,166,0.97)
(70,81,1.0)
(72,73,1.0)
(72,140,1.0)
(73,140,1.0)
(74,109,1.0)
(77,194,0.99)
(77,200,0.99)
(80,165,0.99)
(84,147,0.67)
(84,156,0.67)
(85,103,1.0)
(86,108,1.0)
(87,110,0.7)
(94,96,1.0)
(97,98,1.0)
(99,166,1.0)
(101,145,1.0)
(104,115,1.0)
(107,118,0.87)
(111,215,1.0)
(114,162,0.97)
(114,186,1.0)
(117,123,1.0)
(120,141,1.0)
(125,190,1.0)
(133,161,0.7)
(135,143,1.0)
(142,149,0.93)
(147,156,1.0)
(155,167,1.0)
(160,185,0.98)
(162,186,0.97)
(163,187,1.0)
(175,210,1.0)
(175,218,0.91)
(194,200,1.0)
(197,216,0.94)
(210,218,0.91)
(219,220,1.0)
(224,225,0.87)
